org.leo.dictionary.config.entity.ParseWords:fr:en;uk:le+;la+;les+;l%27:%5C%7C:%3B:%3B:%5Ct::Collins+French+3000

	 l'essentiel | the essentials
la réflexologie | reflexology | рефлекторний масаж
la thalassothérapie | thalassotherapy | таласотерапія
la médecine traditionnelle chinoise | traditional Chinese medicine | традиційна китайська медицина

le vétérinaire | the vet | у ветеринара
le vétérinaire | vet | ветеринар
la vétérinaire | vet | ветеринар
l'animal de compagnie; m | pet | домашня тварина
la puce | flea | блоха
la tique | tick | кліщ
le passeport pour animal domestique | pet passport | паспорт тварини
la quarantaine | quarantine | карантин
la puce | microchip | чіп
vacciner | to vaccinate | вакцинувати
traiter contre les vers | to worm | лікування від глистів
pucer | to microchip | оснащений мікрочіпом
stériliser | to spay; to neuter | стерилізувати; каструвати
piquer | to put down | укусити; приспати
la collerette vétérinaire | E-collar | комір Елізабет
le collier antipuces | flea collar | нашийник від бліх
le panier de transport | pet carrier | транспортний ящик

	la planète terre | planet earth
la planète terre | planet earth | земля
le perroquet | parrot | папуга
le bec | beak | дзьоб
la queue | tail | хвіст
la griffe | claw | кіготь

l'animal; m | animal | тварина
l'oiseau; m | bird | птах
le poisson | fish | риба
l'espèce; f | species | вид
le zoo | zoo | зоопарк
la réserve naturelle | nature reserve | природний заповідник
le paysage | scenery | краєвид
la fourrure | fur | хутро
la laine | wool | шерсть
la patte | paw | лапа
le sabot | hoof | копито
le museau | snout | морда
la crinière | mane | грива
la queue | tail | хвіст
la griffe | claw | кіготь
la corne | horn | ріг
la plume | feather | перо
l'aile; f | wing | крило
le bec | beak | дзьоб
à sang froid | cold-blooded | холоднокровний
à sang chaud | warm-blooded | теплокровний
aboyer | to bark | гавкати
ronronner | to purr | муркотіти
grogner | to growl | гарчати
pépier | to chirp | щебетати
bourdonner | to buzz | дзижчати; гудіти
rugir | to roar | ревіти

les animaux domestiques et les oiseaux | domestic animals and birds | домашні тварини і птахи
l'agriculteur; m | farmer | фермер
l'agricultrice; f | farmer | фермер
la ferme | farm | ферма
le propriétaire | owner | власник
la propriétaire | owner | власник

la nourriture pour poisson | fish food | корм для риб
la litière (pour chat) | cat litter | котячий туалет
la grange | barn | сарай
le foin | hay | сіно
la paille | straw | солома
la prairie | meadow | луг
le troupeau | flock; herd | стадо
le chien d'aveugle | guide dog | собака-поводир
le veau | calf | литка; теля
l'agneau; m | lamb | ягня
le poulain | foal | лоша
le chiot | puppy | цуценя
le chaton | kitten | кошеня
promener le chien | to walk the dog | вигулювати собаку
aller chez le vétérinaire | to go to the vet | піти до ветеринара
cultiver | to farm (crops) | культивувати
élever | to farm (animals) | вирощувати

la perruche | budgerigar | хвилястий папужка
le canari | canary | канарейка
le chat | cat | кіт
le chien | dog | пес
le furet | ferret | тхір
le poisson rouge | goldfish | золота рибка
le cochon d'Inde | guinea pig | морська свинка
le hamster | hamster | хом'як
le perroquet | parrot | папуга
le poney | pony | поні
le lapin | rabbit | кролик
le rat | rat | щур

le taureau | bull | бик
le poulet | chicken | курка
la vache | cow | корова
l'âne; m | donkey | осел
le canard | duck | качка
la chèvre | goat | коза
l'oie; f | goose | гусак
le cheval | horse | кінь
le cochon | pig | свиня

le mouton | sheep | вівця
le chien de berger | sheepdog | вівчарка
le dindon | turkey | індичка

l'aquarium; m | aquarium | акваріум
la cage | cage | клітка
la chatière | catflap | котячий клапоть
le collier | collar | нашийник
le panier pour chien | dog basket | кошик для собаки
le clapier | hutch | кролятник
la niche | kennel | розплідник
la laisse | lead | повідець
le bac à litière | litter tray | ящик для сміття
la muselière | muzzle | морда
la nourriture pour animaux | pet food | корм для тварин
l'écurie; f | stable | стайня

les amphibiens et les reptiles | amphibians and reptiles | амфібії та рептилії
l'alligator; m | alligator | алігатор
le crocodile | crocodile | крокодил
la grenouille | frog | жаба
le gecko | gecko | гекон
l'iguane; m | iguana | ігуана
le lézard | lizard | ящірка
le triton | newt | тритон
la salamandre | salamander | саламандра
le serpent | snake | змія
le crapaud | toad | жаба
la tortue | tortoise | черепаха
la tortue marine | turtle | водяна черепаха

les mammifères | mammals | ссавці
le blaireau | badger | борсук
la chauve-souris | bat | кажан
le sanglier | boar | дикий кабан
le cerf | deer | олень
le renard | fox | лисиця
le lièvre | hare | кролик
le hérisson | hedgehog | їжак
la taupe | mole | кріт
la souris | mouse | миша
la loutre | otter | видра
l'écureuil; m | squirrel | білка
le loup | wolf | вовк

l'ours; m | bear | ведмідь
le chameau | camel | верблюд
le chimpanzé | chimpanzee | шимпанзе
l'éléphant; m | elephant | слон
la girafe | giraffe | жирафа
le gorille | gorilla | горила
l'hippopotame; m | hippopotamus | бегемот
le kangourou | kangaroo | кенгуру
le lion | lion | лев
le singe | monkey | мавпа
le rhinocéros | rhinoceros | носоріг
le tigre | tiger | тигр

les oiseaux | birds | птахи
le merle | blackbird | дрозд
la grue | crane | журавель
le corbeau | crow | ворон
la colombe | dove | голуб
l'aigle; m | eagle | орел
le pinson | finch | зяблик

le flamant rose | flamingo | фламінго
la mouette | gull | чайка
le faucon | hawk | сокіл
le héron | heron | чапля
le martin-pêcheur | kingfisher | зимородок
l'alouette; f | lark | жайворонок
l'autruche; f | ostrich | страус
la chouette | owl | сова
le paon | peacock | павич
le pélican | pelican | пелікан
le manchot | penguin | пінгвін
le pigeon | pigeon | голуб
le macareux | puffin | тупик
le rouge-gorge | robin | малиновка
le moineau | sparrow | горобець
la cigogne | stork | лелека
le cygne | swan | лебідь
la grive | thrush | дрізд

les petites bêtes | minibeasts | членистоногі
l'essaim; m | swarm | рій
la colonie | colony | колонія
la toile d'araignée | cobweb | павутина
la piqûre d'insecte | insect bite | укус комахи
bourdonner | to buzz | дзижчати; гудіти
piquer | to sting | жалити
la fourmi | ant | мураха
l'abeille; f | bee | бджола
le scarabée | beetle | жук
le papillon | butterfly | батерфляй; метелик
la chenille | caterpillar | гусениця
le mille-pattes | centipede | багатоніжка
le cafard | cockroach | тарган
le grillon | cricket | цвіркун
la libellule | dragonfly | бабка
le ver de terre | earthworm | дощовий черв'як
la mouche | fly | муха
la sauterelle | grasshopper | коник
la coccinelle | ladybird | сонечко
l'éphémère; f | mayfly | травнева мушка
le moustique | mosquito | комар

le papillon de nuit | moth | моль
la limace | slug | слимак
l'escargot; m | snail | равлик
l'araignée; f | spider | павук
la guêpe | wasp | оса
le cloporte | woodlouse | мокриця

les animaux marins | marine creatures | морські тварини
le corail | coral | корал
le crabe | crab | краб
le dauphin | dolphin | дельфін
l'anguille; f | eel | вугор
la méduse | jellyfish | медуза
l'orque; f | killer whale | косатка
le homard | lobster | омар
le phoque | seal | тюлень
l'oursin; m | sea urchin | морський їжак
le requin | shark | акула
l'étoile de mer; f | starfish | морська зірка
la baleine | whale | кит

les fleurs, les plantes et les arbres | flowers, plants, and trees | квіти, рослини та дерева
la tige | stalk | стебло
la feuille | leaf | листок
le pétale | petal | пелюстка
le pollen | pollen | пилок
le bourgeon | bud | бутон
le bois | wood | деревина
la branche | branch | відділення; гілка
le tronc | trunk | стовбур дерева
l'écorce; f | bark | кора
la racine | root | корінь
la graine | seed | ядро
le bulbe | bulb | цибулина квітки

le bouton-d'or | buttercup | лютик
l'œillet; m | carnation | гвоздика
le chrysanthème | chrysanthemum | хризантема
la jonquille | daffodil | нарцис
la pâquerette | daisy | ромашка
la jacinthe | hyacinth | гіацинт
l'iris; m | iris | квітка ірису
le lys | lily | лілія
le muguet | lily-of-the-valley | конвалія
l'orchidée; f | orchid | орхідея
la pensée | pansy | братки
le coquelicot | poppy | мак
la rose | rose | роза
le tournesol | sunflower | соняшник
la tulipe | tulip | тюльпан

le marronnier | chestnut | каштан
le cyprès | cypress | кипарис
le sapin | fir | ялина
le champignon | fungus | гриб
la vigne | grapevine | виноградна лоза
le lierre | ivy | плющ
la lavande | lavender | лаванда
le lilas | lilac | бузок
la mousse | moss | мох
le chêne | oak | дуб
l'olivier; m | olive | оливкове дерево
le pin | pine | сосна
le platane | plane | площина
le peuplier | poplar | тополя
le saule | willow | верба

la terre, la mer et le ciel | land, sea, and sky | земля, море і небо
le paysage | landscape | краєвид
la terre | soil | земля
la boue | mud | грязь
l'eau; f | water | вода
l'estuaire; m | estuary | лиман
l'air; m | air | повітря
l'atmosphère; f | atmosphere | атмосфера
la comète | comet | комета
le lever du soleil | sunrise | схід сонця
le coucher de soleil | sunset | захід сонця
rural | rural | сільський
urbain | urban | міський
polaire | polar | полярний
alpin | alpine | альпійський
tropical | tropical | тропічний

la grotte | cave | печера
le désert | desert | пустеля
les terres cultivées; fpl | farmland | сільськогосподарські угіддя
la forêt | forest | ліс
le glacier | glacier | льодовик
la prairie | grassland | пасовище
la colline | hill | пагорб
le lac | lake | озеро
le marais | marsh | болото
la montagne | mountain | гора
la mare | pond | ставок
le fleuve | river | річка
les rochers; mpl | rocks | скеля
les broussailles; fpl | scrub | чагарник
la rivière | stream | потік
la vallée | valley | долина
le volcan | volcano | вулкан
la cascade | waterfall | водоспад

la falaise | cliff | скеля
la côte | coast | узбережжя
le récif coralien | coral reef | кораловий риф
l'île; f | island | острів
la péninsule | peninsula | півострів
la flaque d'eau salée | rockpool | басейн припливів

l'aurore; f | aurora | північне сяйво
les nuages; mpl | clouds | хмари
la lune | moon | місяць
l'arc-en-ciel; m | rainbow | веселка
les étoiles; fpl | stars | зірки
le soleil | sun | сонце

	les fêtes | celebrations and festivals
les fêtes | celebrations and festivals | фестивалі та свята
le costume | costume | костюм
le masque | mask | маска
la plume | feather | перо

l'occasion; f | occasion | нагода
l'anniversaire; m | birthday | день народження
le mariage | wedding | весілля
l'anniversaire de mariage; m | wedding anniversary | день весілля
le jour férié | public holiday | свято
la fête religieuse | religious holiday | релігійне свято
la célébration | celebration | вечірка
la fête surprise | surprise party | вечірка-сюрприз
une bonne / mauvaise nouvelle | good / bad news | хороші / погані новини
célébrer | to celebrate | святкувати
faire une fête | to throw a party | провести вечірку
porter un toast à | to toast | тост до
le bouquet | bouquet | букет
la boîte de chocolats | box of chocolates | шоколадні цукерки
les banderoles; fpl | bunting | прапори
le gâteau | cake | пиріг
le champagne | champagne | шампанське
les confettis; mpl | confetti | конфетті
la fête foraine | funfair | ярмарок
le cadeau | gift | подарунок
les serpentins; mpl | streamers | розтяжки

les jours de fête | high days and holidays | свята
le baptême | baptism; christening | хрещення
la bar-mitsva | bar mitzvah | бар-міцва
la bat-mitsva | bat mitzvah | бат-міцва
la fête prénatale | baby shower | вечірка на честь скорого народження дитини
la fête des Mères | Mother's Day | день матері
la fête des Pères | Father's Day | день батька
le premier Mai | May Day | першотравневий
la Saint Valentin | Valentine's Day | день Святого Валентина
le jour d'action de grâce | Thanksgiving | день подяки
la naissance | birth | народження
le premier jour d'école | first day of school | початок школи

obtenir son permis de conduire | passing your driving test | отримати водійські права
la remise des diplômes | graduation | церемонія вручення дипломів
trouver un boulot | finding a job | знайти роботу
les fiançailles; fpl | engagement | заручини
le mariage | marriage | шлюб
avoir un bébé | having a child | народити дитину
le déménagement | relocation | переїзд
la retraite | retirement | вихід на пенсію
l'enterrement; m | funeral | похорон

la fête nationale | Bastille Day | Національний день
les feux d'artifice; mpl | fireworks | феєрверк
la guirlande | garland | гірлянда

la Toussaint | All Saints' Day | день всіх святих
le premier avril | April Fool's Day | перше квітня
le nouvel an chinois | Chinese New Year | китайський новий рік
Dipavali; f | Diwali | дівалі
Pâques; fpl | Easter | великдень
l'Aïd-el-Fitr; m | Eid-al-Fitr | ід аль-Фітр
Halloween; f | Halloween | хеллоуїн
Hanoukka; f | Hanukkah | ханука
Holi; f | Holi | Холі
le mardi gras | Mardi Gras | жирний вівторок
Pâque juive; f | Passover | єврейська Пасха
le ramadan | Ramadan | рамадан

noël et le nouvel an | christmas and new year | різдво і новий рік
la veille de Noël | Christmas Eve | святвечір
le jour de Noël | Christmas Day | перший день Різдва
la carte / le sapin de Noël | Christmas card / tree | новорічна листівка / новорічна ялинка
la Saint-Sylvestre | New Year's Eve | переддень Нового року
le jour de l'an | New Year's Day | день нового року

les étrennes; fpl | New Year gift | новорічні подарунки
le père Noël | Father Christmas; Santa Claus | Санта Клаус; Святий Миколай
le marché de Noël | Christmas market | різдвяний базар
le gui | mistletoe | омела
la crèche de Noël | Nativity scene | вертеп
la couronne | wreath | вінок
la bûche de Noël | Yule log | святкове поліно

le carnaval | carnival | карнавал
le char | carnival float | карнавальний поплавок
le costume | costume | костюм
l'effigie; f | effigy | солом'яна лялька
le maquillage | face paint | дитячий макіяж
la coiffure | headdress | головний убір
la galette des Rois | king cake | Королівський торт
le masque | mask | маска
la parade | parade | карнавальний парад
l'artiste de rue; m | street performer | вуличний артист
l'artiste de rue; f | street performer | вуличний артист

